Site;Country;Biome;Lat;long;alt;MAT;Tp;Tmax;Tmin;Mta;It;Itc;P;D;;Rod_I;Rod_II;Rod_II/III;Rod_III;Rod_IV;Rod_V;Rod_VI;Rod_VII;Rod_VIII;Rod_IX;Rod_S;;EulRod_I;EulRod_II;EulRod_II/III;EulRod_III;EulRod_IV;EulRod_V;EulRod_VI;EulRod_VII;EulRod_VIII;EulRod_IX;EulRod_S
As.Suq;Saudi Arabia;3;21º09´N;42º01´E;1050;25.5;3060;33.2;16.8;16.4;591;591;105;12;;1.233333333;4.933333333;8.633333333;49.37777778;30.85555556;1.233333333;1.233333333;1.233333333;1.233333333;0;9;;1.009090909;4.036363636;7.063636364;49.49090909;27.51818182;3.281818182;3.281818182;3.281818182;1.009090909;0;11
Assuan;Egypt;3;23º58´N;33º40´E;194;26.5;3180;34.1;16.1;18;587;587;2;12;;3.6;9.55;11.92857143;32.76428571;31.57142857;3.6;3.6;0.792857143;2.578571429;0;14;;3.36;8.913333333;11.13333333;37.24666667;29.46666667;3.36;3.36;0.74;2.406666667;0;15
Bam;Iran;3;29º07´N;58º19´E;1061;23.1;2772;33.6;10.7;22.9;445;479;59;12;;2;4;21.49;23.16;34.82;0;3.33;11.16;0;0;10;;1.666666667;3.333333333;17.90833333;24.85;34.56666667;0;2.775;14.85;0;0;12
Faya.Largeau;Chad;3;17º55´N;19º06´E;245;28.3;3396;34;19.5;14.5;673;673;17;12;;0;0;16.66666667;66.66666667;16.66666667;0;0;0;0;0;3;;8.325;8.325;20.825;50;12.5;0;0;0;0;0;4
Mascate;Oman;3;23º37´N;58º35´E;4;28.5;3420;34.5;22;12.5;725;725;106;12;;5.08;11.74;18.4;21.74;28.4;5.08;5.08;2.22;2.22;0;5;;3.628571429;8.385714286;13.14285714;34.57142857;25.04285714;3.628571429;3.628571429;6.342857143;1.585714286;0;7
Smara;Morocco;3;26º44´N;11º26´W;140;21.7;2604;27.7;14.8;12.9;513;513;36;12;;3.571428571;8.328571429;8.328571429;35.71428571;44.04285714;0;0;0;0;0;7;;5.83;9.16;9.16;35;35.83;0;0;5;0;0;10
Tamanrasset;Algeria;3;22º44´N;5º36´E;1320;21.2;2544;28.5;11.7;16.8;446;446;43;12;;0;4.1625;8.325;47.9125;39.575;0;0;0;0;0;8;;0;4.1625;8.325;47.9125;39.575;0;0;0;0;0;8
Aleppo;Syria;4;36º11´N;37º13´E;395;17.3;2076;28.4;6.1;22.3;295;323;341;6.8;;1.20952381;3.747619048;6.920634919;5.334920633;39.61111111;2.4;17.23333333;11.95238095;9.414285714;2.142857143;21;;1.016;3.148;5.813333332;5.813333332;37.60533333;5.016;17.476;14.372;7.908;1.8;25
Esfahan;Iran;4;32º37´N;51º40´E;1598;16.1;1932;29.4;3.6;25.8;233;296;301;7.4;;1.636842105;2.689473684;7.510526316;11.9;41.27894737;0.584210526;10.66842105;16.10526316;6.284210526;1.315789474;19;;1.555;2.555;7.135;12.97;40.88;0.555;10.135;16.965;5.97;1.25;20
Port.St.Louis.du.Rhones;France;4;43º28´N;4º46´E;2;14.2;1704;23;6.2;16.8;266;266;620;3.9;;0;0;0;0;32.49;0;32.49;10.83;24.16;0;10;;0.841176471;0.841176471;0.841176471;0.841176471;28.48235294;1.470588235;35.83529412;11.32941176;16.85882353;2.647058824;17
Potenza;Italy;4;40º38´N;15º46´E;823;12.4;1488;21.6;3.8;17.8;200;200;799;2;;1.7875;1.7875;1.7875;1.7875;19.4875;4.9125;29.9;12.5;21.8625;4.1625;8;;1.682352941;1.682352941;1.682352941;1.682352941;30.30588235;5.252941176;29.32352941;12.31176471;12.93529412;3.135294118;17
