Taxon;I;II;II/III;III;IV;V;VI;VII;VIII;IX;Ordre
Anourosorex_squamipes;0.25;0.25;0;0;0;0.25;0.25;0;0;0;EULIPOTYPHLA
Atelerix_algirus;0;0;0;0;1;0;0;0;0;0;EULIPOTYPHLA
Chimarrogale_himalayica;0;0;0;0;0;0.5;0.5;0;0;0;EULIPOTYPHLA
Chimmarogale_platycephala;0;0;0;0;0;0.5;0.5;0;0;0;EULIPOTYPHLA
Crocidura_attenuata;0.25;0.25;0;0;0;0.25;0.25;0;0;0;EULIPOTYPHLA
Crocidura_dsinezumi;0;0;0;0;0;0.5;0.5;0;0;0;EULIPOTYPHLA
Crocidura_fuliginosa;0.333;0.333;0;0;0;0.333;0;0;0;0;EULIPOTYPHLA
Crocidura_lasiura;0;0;0;0;0;0.5;0.5;0;0;0;EULIPOTYPHLA
Crocidura_leucodon;0;0;0;0;0.25;0.25;0.25;0.25;0;0;EULIPOTYPHLA
Crocidura_pachyura;0;0;0;0;0;0;1;0;0;0;EULIPOTYPHLA
Crocidura_russula;0;0;0;0;0.5;0;0.5;0;0;0;EULIPOTYPHLA
Crocidura_serezkyensis;0;0;0;0;0;0;0;1;0;0;EULIPOTYPHLA
Crocidura_shantungensis;0;0;0;0;0;0;0.5;0.5;0;0;EULIPOTYPHLA
Crocidura_sibirica;0;0;0;0;0;0;0;0.5;0.5;0;EULIPOTYPHLA
Crocidura_suaveolens;0;0;0;0;0.25;0.25;0.25;0.25;0;0;EULIPOTYPHLA
Crocidura_tanakae;0;0.5;0;0;0;0.5;0;0;0;0;EULIPOTYPHLA
Crocidura_tarfayensis;0;0;0;1;0;0;0;0;0;0;EULIPOTYPHLA
Crocidura_viaria;0.333;0.333;0.333;0;0;0;0;0;0;0;EULIPOTYPHLA
Crocidura_vorax;0;0.25;0;0;0;0.25;0.25;0;0.25;0;EULIPOTYPHLA
Crocidura_whitakeri;0;0;0;0;0.5;0;0;0.5;0;0;EULIPOTYPHLA
Diplomesodon_pulchellus;0;0;0;0;0;0;0;1;0;0;EULIPOTYPHLA
Dymecodon_pilirostris;0;0;0;0;0;0;0.333;0;0.333;0.333;EULIPOTYPHLA
Erinaceus_amurensis;0;0;0;0;0;0.333;0.333;0.333;0;0;EULIPOTYPHLA
Erinaceus_concolor;0;0;0;0;0.25;0.25;0.25;0.25;0;0;EULIPOTYPHLA
Erinaceus_europaeus;0;0;0;0;0.5;0;0.5;0;0;0;EULIPOTYPHLA
Erinaceus_roumanicus;0;0;0;0;0.25;0;0.25;0.25;0.25;0;EULIPOTYPHLA
Hemiechinus_auritus;0;0;0;0.333;0.333;0;0;0.333;0;0;EULIPOTYPHLA
Mogera_latouchei;0;0;0;0;0;1;0;0;0;0;EULIPOTYPHLA
Mogera_robusta;0;0;0;0;0;0;1;0;0;0;EULIPOTYPHLA
Mogera_wogura;0;0;0;0;0;1;0;0;0;0;EULIPOTYPHLA
Neomys_anomalus;0;0;0;0;0.5;0;0.5;0;0;0;EULIPOTYPHLA
Neomys_fodiens;0;0;0;0;0;0;0.25;0.25;0.25;0.25;EULIPOTYPHLA
Neomys_teres;0;0;0;0;0;0;0.5;0.5;0;0;EULIPOTYPHLA
Neotetracus_sinensis;0.333;0;0;0;0;0.333;0.333;0;0;0;EULIPOTYPHLA
Paraechinus_aethiopicus;0;0;0;1;0;0;0;0;0;0;EULIPOTYPHLA
Paraechinus_hypomelas;0;0;0;0.333;0.333;0;0;0.333;0;0;EULIPOTYPHLA
Scaptochirus_moschatus;0;0;0;0;0;0;0.5;0.5;0;0;EULIPOTYPHLA
Sorex_antinorii;0;0;0;0;0.5;0;0.5;0;0;0;EULIPOTYPHLA
Sorex_araneus;0;0;0;0;0;0;0.333;0;0.333;0.333;EULIPOTYPHLA
Sorex_asper;0;0;0;0;0;0;0;1;0;0;EULIPOTYPHLA
Sorex_caecutiens;0;0;0;0;0;0;0.333;0;0.333;0.333;EULIPOTYPHLA
Sorex_camtschaticus;0;0;0;0;0;0;0;0;1;0;EULIPOTYPHLA
Sorex_coronatus;0;0;0;0;0;0;1;0;0;0;EULIPOTYPHLA
Sorex_daphaenodon;0;0;0;0;0;0;0.5;0;0.5;0;EULIPOTYPHLA
Sorex_gracillimus;0;0;0;0;0;0;0.5;0;0.5;0;EULIPOTYPHLA
Sorex_isodon;0;0;0;0;0;0;0;0;1;0;EULIPOTYPHLA
Sorex_minutissimus;0;0;0;0;0;0;0.333;0.333;0.333;0;EULIPOTYPHLA
Sorex_minutus;0;0;0;0;0.2;0;0.2;0.2;0.2;0.2;EULIPOTYPHLA
Sorex_raddei;0;0;0;0;0;0.333;0.333;0.333;0;0;EULIPOTYPHLA
Sorex_roboratus;0;0;0;0;0;0;0;0;0.5;0.5;EULIPOTYPHLA
Sorex_samniticus;0;0;0;0;1;0;0;0;0;0;EULIPOTYPHLA
Sorex_satunini;0;0;0;0;0.25;0.25;0.25;0.25;0;0;EULIPOTYPHLA
Sorex_tundrensis;0;0;0;0;0;0;0;0;0.5;0.5;EULIPOTYPHLA
Sorex_unguiculatus;0;0;0;0;0;0;0.5;0;0.5;0;EULIPOTYPHLA
Sorex_volnuchini;0;0;0;0;0.25;0.25;0.25;0.25;0;0;EULIPOTYPHLA
Suncus_etruscus;0.143;0.143;0.143;0.143;0.143;0;0.143;0.143;0;0;EULIPOTYPHLA
Suncus_murinus;0.25;0.25;0.25;0;0;0.25;0;0;0;0;EULIPOTYPHLA
Talpa_altaica;0;0;0;0;0;0;0.5;0;0.5;0;EULIPOTYPHLA
Talpa_caeca;0;0;0;0;0.2;0;0.2;0.2;0.2;0.2;EULIPOTYPHLA
